2023-02-18 21:08:26.492 [info] Starting worker process with pid 108761 (type: fileWatcher, window: 1).
2023-02-18 21:10:43.227 [info] Worker process with pid 108761 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:10:45.396 [info] Starting worker process with pid 110519 (type: fileWatcher, window: 1).
2023-02-18 21:11:54.641 [info] Worker process with pid 110519 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:11:56.771 [info] Starting worker process with pid 111327 (type: fileWatcher, window: 1).
2023-02-18 21:12:14.257 [info] Worker process with pid 111327 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:12:16.266 [info] Starting worker process with pid 111607 (type: fileWatcher, window: 1).
2023-02-18 21:12:31.608 [info] Worker process with pid 111607 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:12:33.951 [info] Starting worker process with pid 111845 (type: fileWatcher, window: 1).
2023-02-18 21:12:41.112 [info] Worker process with pid 111845 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:12:43.454 [info] Starting worker process with pid 112000 (type: fileWatcher, window: 1).
2023-02-18 21:13:16.590 [info] Worker process with pid 112000 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:13:18.812 [info] Starting worker process with pid 112447 (type: fileWatcher, window: 1).
2023-02-18 21:14:02.221 [info] Worker process with pid 112447 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:14:04.264 [info] Starting worker process with pid 112989 (type: fileWatcher, window: 1).
2023-02-18 21:14:31.568 [info] Worker process with pid 112989 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:14:33.695 [info] Starting worker process with pid 113343 (type: fileWatcher, window: 1).
2023-02-18 21:14:41.409 [info] Worker process with pid 113343 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:14:43.231 [info] Starting worker process with pid 113488 (type: fileWatcher, window: 1).
2023-02-18 21:15:12.418 [info] Worker process with pid 113488 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:15:14.243 [info] Starting worker process with pid 113891 (type: fileWatcher, window: 1).
2023-02-18 21:15:32.707 [info] Worker process with pid 113891 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:15:34.744 [info] Starting worker process with pid 114147 (type: fileWatcher, window: 1).
2023-02-18 21:15:44.376 [info] Worker process with pid 114147 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:15:46.223 [info] Starting worker process with pid 114398 (type: fileWatcher, window: 1).
2023-02-18 21:17:18.198 [info] Worker process with pid 114398 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:17:20.547 [info] Starting worker process with pid 115462 (type: fileWatcher, window: 1).
2023-02-18 21:18:06.486 [info] Worker process with pid 115462 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:18:08.974 [info] Starting worker process with pid 116040 (type: fileWatcher, window: 1).
2023-02-18 21:18:47.402 [info] Worker process with pid 116040 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:18:49.753 [info] Starting worker process with pid 116515 (type: fileWatcher, window: 1).
2023-02-18 21:26:32.973 [info] Worker process with pid 116515 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:26:35.725 [info] Starting worker process with pid 121681 (type: fileWatcher, window: 1).
2023-02-18 21:26:51.938 [info] Worker process with pid 121681 terminated normally (type: fileWatcher, window: 1).
2023-02-18 21:26:53.833 [info] Starting worker process with pid 121919 (type: fileWatcher, window: 1).
